artist,time,title,day,month,station
Charlie Puth,3:52 PM,How Long,30,11,94.9
Shawn Mendes,3:49 PM,There's Nothing Holdin' Me Back,30,11,94.9
Post Malone,3:46 PM,rockstar [Feat. 21 Savage],30,11,94.9
Gwen Stefani,3:40 PM,Hollaback Girl,30,11,94.9
Justin Bieber,3:33 PM,Sorry,30,11,94.9
Portugal. The Man,3:31 PM,Feel It Still,30,11,94.9
Ariana Grande,3:27 PM,Side To Side,30,11,94.9
Niall Horan,3:23 PM,Too Much To Ask,30,11,94.9
Camila Cabello feat. Young Thug,3:20 PM,Havana,30,11,94.9
Jack Ü,3:17 PM,Where Are Ü Now (with Justin Bieber),30,11,94.9
Halsey,3:13 PM,Bad At Love,30,11,94.9
Liam Payne,3:09 PM,Strip That Down,30,11,94.9
Maroon 5,3:02 PM,What Lovers Do,30,11,94.9
The Weeknd,2:58 PM,Starboy,30,11,94.9
Ed Sheeran,2:54 PM,Perfect,30,11,94.9
The Weeknd,2:50 PM,I Feel It Coming,30,11,94.9
Imagine Dragons,2:47 PM,Thunder,30,11,94.9
B.o.B,2:42 PM,Airplanes (feat. Hayley Williams of Paramore),30,11,94.9
Dua Lipa,2:39 PM,New Rules,30,11,94.9
The Chainsmokers & Coldplay,2:35 PM,Something Just Like This,30,11,94.9
Post Malone,2:32 PM,rockstar [Feat. 21 Savage],30,11,94.9
Bruno Mars,2:29 PM,24K Magic,30,11,94.9
Ashanti,2:21 PM,Unfoolish,30,11,94.9
Portugal. The Man,2:19 PM,Feel It Still,30,11,94.9
Charlie Puth,2:15 PM,How Long,30,11,94.9
Major Lazer,2:12 PM,Cold Water,30,11,94.9
Lorde,2:08 PM,Homemade Dynamite,30,11,94.9
The Chainsmokers feat. Daya,2:05 PM,Don't Let Me Down,30,11,94.9
Camila Cabello feat. Young Thug,2:02 PM,Havana,30,11,94.9
Rihanna,1:57 PM,Umbrella,30,11,94.9
Halsey,1:54 PM,Bad At Love,30,11,94.9
Bruno Mars,1:51 PM,That's What I Like,30,11,94.9
Jain,1:48 PM,Makeba,30,11,94.9
Maroon 5,1:44 PM,What Lovers Do,30,11,94.9
