artist,time,title,day,month,station
Young M.A,4:06 AM,OOOUUU,2,12,hot105
Meek Mill,4:03 AM,Whatever You Need (feat. Chris Brown & Ty Dolla $ign),2,12,hot105
"DJ Khaled feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne",3:58 AM,I'm the One,2,12,hot105
Trey Songz,3:55 AM,Say Aah (feat. Fabolous),2,12,hot105
Talib Kweli,3:52 AM,Let It Roll,2,12,hot105
Bruno Mars,3:48 AM,That's What I Like,2,12,hot105
Fetty Wap,3:43 AM,Again,2,12,hot105
The Notorious B.I.G.,3:39 AM,One More Chance,2,12,hot105
Migos,3:34 AM,T-Shirt,2,12,hot105
Chance the Rapper,3:30 AM,No Problem (feat. Lil Wayne & 2 Chainz),2,12,hot105
T.I.,3:26 AM,Bring Em Out,2,12,hot105
A Boogie Wit da Hoodie,3:22 AM,Drowning (feat. Kodak Black),2,12,hot105
O.T. Genasis,3:19 AM,Cut It (feat. Young Dolph),2,12,hot105
Tee Grizzley,3:14 AM,First Day Out,2,12,hot105
Wale,3:10 AM,Bad (feat. Tiara Thomas),2,12,hot105
PARTYNEXTDOOR,3:06 AM,Come and See Me (feat. Drake),2,12,hot105
LIL UZI VERT,3:03 AM,XO TOUR Llif3,2,12,hot105
Webbie,2:59 AM,Independent (feat. Lil' Boosie and Lil' Phat),2,12,hot105
Fetty Wap,2:55 AM,My Way (feat. Monty),2,12,hot105
Trey Songz,2:51 AM,Can't Be Friends,2,12,hot105
Migos,2:47 AM,Slippery (feat. Gucci Mane),2,12,hot105
D.R.A.M. (feat. Lil Yachty),2:44 AM,Broccoli,2,12,hot105
Ty Dolla $ign,2:40 AM,Paranoid (feat. B.o.B),2,12,hot105
Lil Pump,2:37 AM,Gucci Gang,2,12,hot105
Dae Dae,2:34 AM,"Wat U Mean (Aye, Aye, Aye)",2,12,hot105
2Pac,2:26 AM,I Ain't Mad At Cha,2,12,hot105
Bruno Mars,2:22 AM,That's What I Like,2,12,hot105
