artist,time,title,day,month,station
Post Malone,10:59 AM,rockstar [Feat. 21 Savage],2,12,94.9
Portugal. The Man,10:53 AM,Feel It Still,2,12,94.9
French Montana feat. Swae Lee,10:50 AM,Unforgettable,2,12,94.9
Charlie Puth,10:46 AM,How Long,2,12,94.9
Niall Horan,10:36 AM,Slow Hands,2,12,94.9
Camila Cabello feat. Young Thug,10:32 AM,Havana,2,12,94.9
Hailee Steinfeld & Alesso,10:30 AM,Let Me Go,2,12,94.9
Drake,10:26 AM,"Hold On, We're Going Home",2,12,94.9
Ed Sheeran,10:22 AM,Perfect,2,12,94.9
Fugees,10:12 AM,Killing Me Softly with His Song,2,12,94.9
Shawn Mendes,10:06 AM,There's Nothing Holdin' Me Back,2,12,94.9
Niall Horan,10:03 AM,Too Much To Ask,2,12,94.9
Maroon 5,10:00 AM,What Lovers Do,2,12,94.9
Post Malone,9:57 AM,rockstar [Feat. 21 Savage],2,12,94.9
Ariana Grande,9:52 AM,One Last Time,2,12,94.9
Dua Lipa,9:49 AM,New Rules,2,12,94.9
Enrique Iglesias,9:45 AM,Bailando (English Version),2,12,94.9
Selena Gomez,9:42 AM,The Heart Wants What It Wants,2,12,94.9
Portugal. The Man,9:37 AM,Feel It Still,2,12,94.9
Lorde,9:34 AM,Homemade Dynamite,2,12,94.9
Kygo & Selena Gomez,9:31 AM,It Ain't Me,2,12,94.9
Camila Cabello feat. Young Thug,9:27 AM,Havana,2,12,94.9
Imagine Dragons,9:24 AM,Thunder,2,12,94.9
Selena Gomez,9:22 AM,The Heart Wants What It Wants,2,12,94.9
Liam Payne,9:21 AM,Strip That Down,2,12,94.9
Eden XO,9:18 AM,Too Cool To Dance,2,12,94.9
Colbie Caillat,9:15 AM,Hold On,2,12,94.9
"Sofi Tukker feat. NERVO, The Knocks & Alisa Ueno",9:09 AM,Best Friend,2,12,94.9
Ariana Grande,9:05 AM,Side To Side,2,12,94.9
Ed Sheeran,9:01 AM,Perfect,2,12,94.9
Maroon 5,8:58 AM,What Lovers Do,2,12,94.9
Bruno Mars,8:54 AM,That's What I Like,2,12,94.9
Tyga,8:46 AM,Rack City,2,12,94.9
Post Malone,8:39 AM,rockstar [Feat. 21 Savage],2,12,94.9
The Weeknd,8:31 AM,I Feel It Coming,2,12,94.9
Portugal. The Man,8:29 AM,Feel It Still,2,12,94.9
Charlie Puth,8:22 AM,Attention,2,12,94.9
Demi Lovato,8:18 AM,Really Don't Care,2,12,94.9
G-Eazy & Halsey,8:09 AM,Him & I,2,12,94.9
The Chainsmokers & Coldplay,8:05 AM,Something Just Like This,2,12,94.9
Camila Cabello feat. Young Thug,8:02 AM,Havana,2,12,94.9
Rihanna,7:57 AM,S&M,2,12,94.9
Ed Sheeran,7:53 AM,Perfect,2,12,94.9
The Weeknd,7:49 AM,Starboy,2,12,94.9
Halsey,7:47 AM,Bad At Love,2,12,94.9
The Weeknd,7:42 AM,Acquainted,2,12,94.9
Blackbear,7:36 AM,do re mi,2,12,94.9
Maroon 5,7:33 AM,What Lovers Do,2,12,94.9
Bruno Mars,7:29 AM,24K Magic,2,12,94.9
Daya,7:25 AM,New,2,12,94.9
Post Malone,7:22 AM,rockstar [Feat. 21 Savage],2,12,94.9
Imagine Dragons,7:20 AM,Thunder,2,12,94.9
Niall Horan,7:16 AM,Slow Hands,2,12,94.9
Gym Class Heroes,7:11 AM,The Fighter (feat. Ryan Tedder),2,12,94.9
Hailee Steinfeld & Alesso,7:07 AM,Let Me Go,2,12,94.9
French Montana feat. Swae Lee,7:03 AM,Unforgettable,2,12,94.9
Portugal. The Man,7:01 AM,Feel It Still,2,12,94.9
Justin Bieber,6:58 AM,Sorry,2,12,94.9
Camila Cabello feat. Young Thug,6:54 AM,Havana,2,12,94.9
T.I.,6:46 AM,What You Know,2,12,94.9
Macklemore,6:40 AM,Good Old Days (feat. Kesha),2,12,94.9
Ed Sheeran,6:36 AM,Perfect,2,12,94.9
The Weeknd,6:32 AM,The Hills,2,12,94.9
Taylor Swift,6:29 AM,...Ready For It?,2,12,94.9
Maroon 5,6:26 AM,What Lovers Do,2,12,94.9
Liam Payne,6:19 AM,Strip That Down,2,12,94.9
"Sofi Tukker feat. NERVO, The Knocks & Alisa Ueno",6:09 AM,Best Friend,2,12,94.9
Post Malone,6:05 AM,rockstar [Feat. 21 Savage],2,12,94.9
Ed Sheeran,6:02 AM,Shape of You,2,12,94.9
Ciara featuring Missy Elliott,5:58 AM,"1, 2 Step (Don Candiani Reggaeton Mix)",2,12,94.9
Dua Lipa,5:55 AM,New Rules,2,12,94.9
Portugal. The Man,5:52 AM,Feel It Still,2,12,94.9
Shawn Mendes,5:49 AM,There's Nothing Holdin' Me Back,2,12,94.9
Lorde,5:39 AM,Homemade Dynamite,2,12,94.9
Ed Sheeran,5:35 AM,Perfect,2,12,94.9
Alessia Cara,5:32 AM,Here [2:00 AM Version],2,12,94.9
Imagine Dragons,5:29 AM,Thunder,2,12,94.9
Liam Payne,5:26 AM,Bedroom Floor,2,12,94.9
Camila Cabello feat. Young Thug,5:22 AM,Havana,2,12,94.9
Charlie Puth,5:19 AM,Attention,2,12,94.9
G-Eazy & Halsey,5:08 AM,Him & I,2,12,94.9
Maroon 5,5:05 AM,What Lovers Do,2,12,94.9
Ariana Grande,5:01 AM,Side To Side,2,12,94.9
Fetty Wap,5:00 AM,Trap Queen,2,12,94.9
Wiz Khalifa,4:57 AM,Black And Yellow,2,12,94.9
Meek Mill,4:53 AM,Whatever You Need (feat. Chris Brown & Ty Dolla $ign),2,12,94.9
Kevin Gates,4:49 AM,2 Phones,2,12,94.9
Cardi B,4:46 AM,Bodak Yellow,2,12,94.9
Cardi B,4:46 AM,Bodak Yellow,2,12,94.9
B.o.B,4:41 AM,Nothin' On You (feat. Bruno Mars),2,12,94.9
Clean Bandit,4:38 AM,Rockabye,2,12,94.9
Clean Bandit,4:38 AM,Rockabye,2,12,94.9
Charlie Puth,4:35 AM,Attention,2,12,94.9
Migos,4:31 AM,Slippery (feat. Gucci Mane),2,12,94.9
Macklemore,4:24 AM,Glorious (feat. Skylar Grey),2,12,94.9
Childish Gambino,4:20 AM,Redbone,2,12,94.9
Fetty Wap,4:17 AM,679 (feat. Monty),2,12,94.9
Fetty Wap,4:17 AM,679 (feat. Monty),2,12,94.9
Missy Elliott,4:10 AM,Work It,2,12,94.9
Flo Rida,4:07 AM,My House,2,12,94.9
"Lil Wayne, Wiz Khalifa & Imagine Dragons",4:03 AM,"Sucker For Pain (with Logic, Ty Dolla $ign & X Ambassadors)",2,12,94.9
Ty Dolla $ign,4:00 AM,Saved (feat. E-40),2,12,94.9
Sia,4:00 AM,Santa's Coming For Us,2,12,94.9
Migos,3:54 AM,Bad and Boujee (feat. Lil Uzi Vert),2,12,94.9
Omarion,3:50 AM,Post To Be (feat. Chris Brown & Jhene Aiko),2,12,94.9
Kiiara,3:47 AM,Gold,2,12,94.9
Bruno Mars,3:43 AM,That's What I Like,2,12,94.9
"Major Lazer featuring Travis Scott, Camila Cabello and Quavo",3:40 AM,Know No Better,2,12,94.9
Fetty Wap,3:34 AM,Again,2,12,94.9
Trey Songz,3:31 AM,Say Aah (feat. Fabolous),2,12,94.9
Cheat Codes,3:27 AM,No Promises (feat. Demi Lovato) [Stripped Version],2,12,94.9
Cheat Codes,3:27 AM,No Promises (feat. Demi Lovato) [Stripped Version],2,12,94.9
Ed Sheeran,3:23 AM,Shape of You,2,12,94.9
Chance the Rapper,3:19 AM,No Problem (feat. Lil Wayne & 2 Chainz),2,12,94.9
Why Don't We,3:16 AM,These Girls,2,12,94.9
Sean Paul,3:12 AM,Get Busy,2,12,94.9
Wiz Khalifa,3:09 AM,Something New (feat. Ty Dolla $ign),2,12,94.9
Gucci Mane,3:06 AM,Both (feat. Drake),2,12,94.9
Bebe Rexha,3:03 AM,Meant to Be (feat. Florida Georgia Line),2,12,94.9
Macklemore,2:55 AM,Good Old Days (feat. Kesha),2,12,94.9
