artist,time,title,day,month,station
Coldplay,1:48 AM,A Sky Full of Stars,2,12,star101.3
Charlie Puth,1:45 AM,Attention,2,12,star101.3
Charlie Puth,1:42 AM,How Long,2,12,star101.3
Cee Lo Green,1:38 AM,Forget You,2,12,star101.3
Twenty One Pilots,1:35 AM,Ride (feat. MUTEMATH),2,12,star101.3
Taylor Swift,1:31 AM,...Ready For It?,2,12,star101.3
Fergie,1:28 AM,A Little Work,2,12,star101.3
David Guetta,1:25 AM,Titanium (feat. Sia),2,12,star101.3
Green Day,1:22 AM,When I Come Around,2,12,star101.3
Lukas Graham,1:18 AM,7 Years,2,12,star101.3
Clean Bandit,1:15 AM,Rockabye,2,12,star101.3
Mumford & Sons,1:10 AM,I Will Wait,2,12,star101.3
Uncle Kracker,1:07 AM,Drift Away,2,12,star101.3
Ed Sheeran,1:03 AM,Shape of You,2,12,star101.3
Daya,1:00 AM,Hide Away,2,12,star101.3
Snow Patrol,12:57 AM,Chasing Cars,2,12,star101.3
Camila Cabello feat. Young Thug,12:54 AM,Havana,2,12,star101.3
The Script,12:50 AM,Breakeven,2,12,star101.3
Kelly Clarkson,12:47 AM,Love So Soft,2,12,star101.3
Daya,12:44 AM,Hide Away,2,12,star101.3
Shawn Mendes,12:44 AM,Treat You Better,2,12,star101.3
Alanis Morissette,12:41 AM,Ironic,2,12,star101.3
Lights,12:38 AM,Giants,2,12,star101.3
Rihanna,12:34 AM,We Found Love,2,12,star101.3
Portugal. The Man,12:31 AM,Feel It Still,2,12,star101.3
Alanis Morissette,12:31 AM,Ironic,2,12,star101.3
Sia,12:28 AM,Santa's Coming For Us,2,12,star101.3
Bruno Mars,12:25 AM,24K Magic,2,12,star101.3
P!nk,12:21 AM,Beautiful Trauma,2,12,star101.3
Justin Timberlake,12:16 AM,Mirrors,2,12,star101.3
The Cranberries,12:12 AM,Dreams,2,12,star101.3
P!nk,12:08 AM,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",2,12,star101.3
Halsey,12:05 AM,Bad At Love,2,12,star101.3
Maroon 5,12:02 AM,What Lovers Do,2,12,star101.3
Backstreet Boys,11:58 PM,As Long as You Love Me,1,12,star101.3
Andy Grammer,11:55 PM,Smoke Clears,1,12,star101.3
Neon Trees,11:52 PM,Everybody Talks,1,12,star101.3
Charlie Puth,11:49 PM,Attention,1,12,star101.3
Sia,11:49 PM,Santa's Coming For Us,1,12,star101.3
Vance Joy,11:46 PM,Lay It On Me,1,12,star101.3
OneRepublic,11:42 PM,All The Right Moves,1,12,star101.3
Kesha,11:38 PM,Praying,1,12,star101.3
P!nk,11:35 PM,Raise Your Glass,1,12,star101.3
Sam Hunt,11:32 PM,Body Like A Back Road,1,12,star101.3
Vance Joy,11:32 PM,Lay It On Me,1,12,star101.3
Andy Grammer,11:29 PM,Smoke Clears,1,12,star101.3
Green Day,11:25 PM,Wake Me Up When September Ends,1,12,star101.3
The Chainsmokers & Coldplay,11:21 PM,Something Just Like This,1,12,star101.3
Ed Sheeran,11:17 PM,The A Team,1,12,star101.3
Demi Lovato,11:13 PM,Sorry Not Sorry,1,12,star101.3
Walk the Moon,11:10 PM,Shut Up and Dance,1,12,star101.3
Maroon 5,11:07 PM,Moves Like Jagger,1,12,star101.3
P!nk,11:03 PM,What About Us,1,12,star101.3
Andy Grammer,11:02 PM,Smoke Clears,1,12,star101.3
*NSYNC,10:56 PM,It's Gonna Be Me,1,12,star101.3
Echosmith,10:52 PM,Lessons,1,12,star101.3
Katy Perry,10:48 PM,Last Friday Night (T.G.I.F.),1,12,star101.3
Portugal. The Man,10:46 PM,Feel It Still,1,12,star101.3
Shawn Mendes,10:42 PM,There's Nothing Holdin' Me Back,1,12,star101.3
Max,10:39 PM,Lights Down Low,1,12,star101.3
MAGIC!,10:35 PM,Rude,1,12,star101.3
Colbie Caillat,10:32 PM,Bubbly,1,12,star101.3
Charlie Puth,10:32 PM,How Long,1,12,star101.3
Fergie,10:28 PM,A Little Work,1,12,star101.3
No Doubt,10:23 PM,Don't Speak,1,12,star101.3
The Band Perry,10:16 PM,If I Die Young,1,12,star101.3
Imagine Dragons,10:13 PM,Thunder,1,12,star101.3
Sia,10:09 PM,Chandelier,1,12,star101.3
Ed Sheeran,10:05 PM,Perfect,1,12,star101.3
Kelly Clarkson,10:01 PM,Stronger (What Doesn't Kill You),1,12,star101.3
Fergie,10:01 PM,A Little Work,1,12,star101.3
Andy Grammer,9:59 PM,Keep Your Head Up,1,12,star101.3
Sia,9:56 PM,Santa's Coming For Us,1,12,star101.3
Camila Cabello feat. Young Thug,9:52 PM,Havana,1,12,star101.3
Lady Antebellum,9:48 PM,Need You Now,1,12,star101.3
Shawn Mendes,9:45 PM,Stitches (MTV Unplugged),1,12,star101.3
U2 & Kygo,9:41 PM,You’re The Best Thing About Me,1,12,star101.3
Ed Sheeran,9:37 PM,Shape of You,1,12,star101.3
Mark Ronson feat. Bruno Mars,9:33 PM,Uptown Funk,1,12,star101.3
Sia,9:33 PM,Santa's Coming For Us,1,12,star101.3
Bruno Mars,9:31 PM,The Lazy Song,1,12,star101.3
Sean Paul,9:29 PM,Get Busy,1,12,star101.3
David Guetta,9:28 PM,Titanium (feat. Sia),1,12,star101.3
David Guetta,9:28 PM,Titanium (feat. Sia),1,12,star101.3
P!nk,9:24 PM,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",1,12,star101.3
Justin Timberlake,9:20 PM,"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"")",1,12,star101.3
Imagine Dragons,9:17 PM,Radioactive,1,12,star101.3
Sam Smith,9:14 PM,Too Good At Goodbyes,1,12,star101.3
Rihanna,9:10 PM,Umbrella,1,12,star101.3
Gotye,9:06 PM,Somebody That I Used To Know,1,12,star101.3
Maroon 5,9:03 PM,What Lovers Do,1,12,star101.3
David Guetta,9:03 PM,Titanium (feat. Sia),1,12,star101.3
Fergie,8:54 PM,Big Girls Don't Cry (Personal),1,12,star101.3
Kelly Clarkson,8:51 PM,Love So Soft,1,12,star101.3
One Direction,8:48 PM,What Makes You Beautiful,1,12,star101.3
P!nk,8:44 PM,What About Us,1,12,star101.3
Andy Grammer,8:41 PM,Smoke Clears,1,12,star101.3
Charlie Puth,8:38 PM,Attention,1,12,star101.3
Jason Mraz,8:34 PM,I'm Yours,1,12,star101.3
Mumford & Sons,8:32 PM,I Will Wait,1,12,star101.3
Alanis Morissette,8:24 PM,You Learn (2015 Remastered),1,12,star101.3
James Arthur,8:21 PM,Say You Won't Let Go,1,12,star101.3
Gym Class Heroes,8:17 PM,Stereo Hearts (feat. Adam Levine),1,12,star101.3
P!nk,8:13 PM,Beautiful Trauma,1,12,star101.3
Adele,8:09 PM,Water Under the Bridge,1,12,star101.3
Bruno Mars,8:06 PM,Grenade,1,12,star101.3
Ed Sheeran,8:01 PM,Perfect,1,12,star101.3
Mumford & Sons,8:01 PM,I Will Wait,1,12,star101.3
Destiny's Child,7:57 PM,"Jumpin', Jumpin'",1,12,star101.3
Coldplay,7:54 PM,Clocks,1,12,star101.3
David Guetta,7:52 PM,Without You (feat. Usher),1,12,star101.3
Kesha,7:47 PM,Praying,1,12,star101.3
Katy Perry,7:43 PM,Firework,1,12,star101.3
Alessia Cara,7:39 PM,Scars To Your Beautiful,1,12,star101.3
Echosmith,7:35 PM,Lessons,1,12,star101.3
Portugal. The Man,7:33 PM,Feel It Still,1,12,star101.3
Ellie Goulding,7:29 PM,Lights,1,12,star101.3
Bruno Mars,7:27 PM,Locked Out Of Heaven,1,12,star101.3
Ed Sheeran,7:26 PM,Don't,1,12,star101.3
Kelly Clarkson,7:19 PM,Because of You,1,12,star101.3
Shawn Mendes,7:16 PM,There's Nothing Holdin' Me Back,1,12,star101.3
P!nk featuring Nate Ruess,7:12 PM,Just Give Me a Reason,1,12,star101.3
Demi Lovato,7:09 PM,Sorry Not Sorry,1,12,star101.3
X Ambassadors,7:06 PM,Renegades,1,12,star101.3
Sam Smith,7:03 PM,Stay With Me,1,12,star101.3
Maroon 5,7:00 PM,What Lovers Do,1,12,star101.3
Max,6:56 PM,Lights Down Low,1,12,star101.3
Bruno Mars,6:54 PM,Grenade,1,12,star101.3
Nico & Vinz,6:52 PM,Am I Wrong,1,12,star101.3
Christina Perri,6:50 PM,jar of hearts,1,12,star101.3
Christina Perri,6:49 PM,jar of hearts,1,12,star101.3
Taio Cruz,6:45 PM,Dynamite,1,12,star101.3
Goo Goo Dolls,6:41 PM,Iris,1,12,star101.3
Sam Hunt,6:38 PM,Body Like A Back Road,1,12,star101.3
Bruno Mars,6:35 PM,Marry You,1,12,star101.3
James Arthur,6:31 PM,Say You Won't Let Go,1,12,star101.3
Fun.,6:29 PM,We Are Young (feat. Janelle Monáe),1,12,star101.3
Imagine Dragons,6:19 PM,Thunder,1,12,star101.3
Taylor Swift,6:15 PM,Love Story,1,12,star101.3
P!nk,6:08 PM,What About Us,1,12,star101.3
Bastille,6:04 PM,Pompeii,1,12,star101.3
Kid Rock,5:58 PM,All Summer Long,1,12,star101.3
Christina Perri,5:57 PM,A Thousand Years,1,12,star101.3
U2 & Kygo,5:48 PM,You’re The Best Thing About Me,1,12,star101.3
Bruno Mars,5:44 PM,Locked Out Of Heaven,1,12,star101.3
Evanescence,5:40 PM,My Immortal,1,12,star101.3
Ed Sheeran,5:35 PM,Perfect,1,12,star101.3
Colbie Caillat,5:32 PM,Try,1,12,star101.3
Shawn Mendes,5:28 PM,Treat You Better,1,12,star101.3
Goo Goo Dolls,5:25 PM,Name,1,12,star101.3
Sam Smith,5:17 PM,Too Good At Goodbyes,1,12,star101.3
Taylor Swift,5:13 PM,Shake It Off,1,12,star101.3
P!nk,5:09 PM,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",1,12,star101.3
Portugal. The Man,5:07 PM,Feel It Still,1,12,star101.3
Michael Bublé,5:03 PM,Haven't Met You Yet,1,12,star101.3
Justin Bieber,4:59 PM,What Do You Mean?,1,12,star101.3
Green Day,4:58 PM,Good Riddance (Time of Your Life),1,12,star101.3
Katy Perry,4:47 PM,Hot N Cold,1,12,star101.3
Lifehouse,4:43 PM,Hanging By A Moment,1,12,star101.3
Maroon 5,4:40 PM,What Lovers Do,1,12,star101.3
OneRepublic,4:36 PM,Secrets,1,12,star101.3
Charlie Puth,4:33 PM,Attention,1,12,star101.3
Ed Sheeran,4:30 PM,Lego House,1,12,star101.3
P!nk,4:20 PM,Beautiful Trauma,1,12,star101.3
Lady Gaga,4:16 PM,Just Dance,1,12,star101.3
James Arthur,4:12 PM,Say You Won't Let Go,1,12,star101.3
Ed Sheeran,4:08 PM,Shape of You,1,12,star101.3
B.o.B,4:05 PM,Nothin' On You (feat. Bruno Mars),1,12,star101.3
Elle King,4:01 PM,Ex's & Oh's,1,12,star101.3
Edwin McCain,3:58 PM,I'll Be,1,12,star101.3
The Lumineers,3:56 PM,Ho Hey,1,12,star101.3
Kesha,3:48 PM,Praying,1,12,star101.3
Lady Gaga,3:44 PM,Bad Romance,1,12,star101.3
Sublime,3:41 PM,Santeria,1,12,star101.3
Adele,3:37 PM,Hello,1,12,star101.3
Travie McCoy,3:33 PM,Billionaire (feat. Bruno Mars),1,12,star101.3
Goo Goo Dolls,3:31 PM,Iris,1,12,star101.3
Alanis Morissette,3:27 PM,Hand In My Pocket,1,12,star101.3
Demi Lovato,3:19 PM,Sorry Not Sorry,1,12,star101.3
The Fray,3:15 PM,How to Save a Life,1,12,star101.3
The Chainsmokers & Coldplay,3:11 PM,Something Just Like This,1,12,star101.3
Ed Sheeran,3:07 PM,Perfect,1,12,star101.3
The Lumineers,3:04 PM,Ho Hey,1,12,star101.3
Shawn Mendes,3:01 PM,There's Nothing Holdin' Me Back,1,12,star101.3
Imagine Dragons,2:51 PM,Thunder,1,12,star101.3
John Legend,2:46 PM,All of Me,1,12,star101.3
Natalie Imbruglia,2:42 PM,Torn,1,12,star101.3
OneRepublic,2:35 PM,Counting Stars,1,12,star101.3
Portugal. The Man,2:32 PM,Feel It Still,1,12,star101.3
Shawn Mendes,2:22 PM,Stitches (MTV Unplugged),1,12,star101.3
Sara Bareilles,2:19 PM,Brave,1,12,star101.3
Max,2:15 PM,Lights Down Low,1,12,star101.3
Leona Lewis,2:10 PM,Bleeding Love,1,12,star101.3
Maroon 5,2:07 PM,What Lovers Do,1,12,star101.3
Fun.,2:03 PM,Carry On,1,12,star101.3
Bruno Mars,2:00 PM,24K Magic,1,12,star101.3
Bruno Mars,1:57 PM,It Will Rain,1,12,star101.3
Taylor Swift,1:55 PM,Love Story,1,12,star101.3
